File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF765JWP	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR927UJQ	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'dbxrefs': ['FactorBook:ZBTB1'], 'aliases': ['michael-snyder:TS-1379'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/22890/'], '@type': ['Target', 'Item'], 'label': 'ZBTB1', 'title': 'ZBTB1 (Homo sapiens)', 'investigated_as': ['DNA repair'], 'uuid': '647206fd-b78f-4e09-9585-b3fc4dd7ecb5', 'schema_version': '14', 'name': 'ZBTB1-human', '@id': '/targets/ZBTB1-human/', 'status': 'released'}				ZBTB1-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF942ULX/, /files/ENCFF536VWF/, /files/ENCFF718XGQ/	114545	ENCODE Processing Pipeline	06caaf392d3a011a4db6e45bfd52b0df		https://www.encodeproject.org/files/ENCFF765JWP/@@download/ENCFF765JWP.bed.gz				released	s3://encode-public/2016/11/01/e4703df9-6d9d-4177-ad3e-539258cc0b11/ENCFF765JWP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/01/e4703df9-6d9d-4177-ad3e-539258cc0b11/ENCFF765JWP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF653SCL	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR896UBV	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'dbxrefs': ['FactorBook:REST'], 'aliases': ['michael-snyder:TS-29'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5978/'], '@type': ['Target', 'Item'], 'label': 'REST', 'title': 'REST (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '059dda06-b6ba-41d7-bac9-970a237ce857', 'schema_version': '14', 'name': 'REST-human', '@id': '/targets/REST-human/', 'status': 'released'}				REST-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF215ANP/, /files/ENCFF419RSJ/, /files/ENCFF377XCV/, /files/ENCFF160NEW/	392486	ENCODE Processing Pipeline	46967f128009286beaae562db3acaf42		https://www.encodeproject.org/files/ENCFF653SCL/@@download/ENCFF653SCL.bed.gz				released	s3://encode-public/2016/11/01/186c56a2-245a-47fd-87f2-c5ac04127e81/ENCFF653SCL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/01/186c56a2-245a-47fd-87f2-c5ac04127e81/ENCFF653SCL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF167MHN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR418MKG	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55657/'], '@type': ['Target', 'Item'], 'name': 'ZNF692-human', 'label': 'ZNF692', '@id': '/targets/ZNF692-human/', 'title': 'ZNF692 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '2c95c178-9718-4ada-af74-60a9d91032c5', 'status': 'released'}				ZNF692-human	DNA				formaldehyde		2016-10-14	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF095PPU/, /files/ENCFF419RSJ/, /files/ENCFF464BTI/, /files/ENCFF103VFZ/	633006	ENCODE Processing Pipeline	4c104adad6f84e3c51445683b6dc6e40		https://www.encodeproject.org/files/ENCFF167MHN/@@download/ENCFF167MHN.bed.gz				released	s3://encode-public/2016/11/01/e645d188-9ba4-4748-a5be-6c844d6642fe/ENCFF167MHN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/01/e645d188-9ba4-4748-a5be-6c844d6642fe/ENCFF167MHN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF036AEX	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR289NSN	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1295'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/30832/'], '@type': ['Target', 'Item'], 'name': 'ZNF354C-human', 'label': 'ZNF354C', '@id': '/targets/ZNF354C-human/', 'title': 'ZNF354C (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '24b426e8-ed4b-4be1-b879-cefbefc4024f', 'status': 'released'}				ZNF354C-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF914YBP/, /files/ENCFF958DZG/, /files/ENCFF416TTB/	32845	ENCODE Processing Pipeline	e7c8f685200112ef0e24a3d49c9ab5fb		https://www.encodeproject.org/files/ENCFF036AEX/@@download/ENCFF036AEX.bed.gz				released	s3://encode-public/2016/10/28/1826644c-9913-47c5-be5c-2c70513db552/ENCFF036AEX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/10/28/1826644c-9913-47c5-be5c-2c70513db552/ENCFF036AEX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read depth, missing biosample characterization, borderline replicate concordance, missing genetic modification characterization		
ENCFF004JFD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR103GAK	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1573'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7728/'], '@type': ['Target', 'Item'], 'name': 'ZNF175-human', 'label': 'ZNF175', '@id': '/targets/ZNF175-human/', 'title': 'ZNF175 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '91a63da3-3f5f-4589-a592-a2262d02cf11', 'status': 'released'}				ZNF175-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF915ZKK/, /files/ENCFF802MPW/, /files/ENCFF419RSJ/, /files/ENCFF756OLI/	16958	ENCODE Processing Pipeline	5028a103d9454accdc6a2367a2bb76d7		https://www.encodeproject.org/files/ENCFF004JFD/@@download/ENCFF004JFD.bed.gz				released	s3://encode-public/2016/11/01/7296d120-945b-4936-9613-b6d685f72bbd/ENCFF004JFD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/01/7296d120-945b-4936-9613-b6d685f72bbd/ENCFF004JFD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF053AVA	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR466VYP	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1414'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10781/'], '@type': ['Target', 'Item'], 'name': 'ZNF266-human', 'label': 'ZNF266', '@id': '/targets/ZNF266-human/', 'title': 'ZNF266 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '23e71c0a-f46d-40dd-b908-87b15a3b0599', 'status': 'released'}				ZNF266-human	DNA				formaldehyde		2016-12-19	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF918WSS/, /files/ENCFF694SDT/, /files/ENCFF419RSJ/, /files/ENCFF042ALM/	99145	ENCODE Processing Pipeline	f401f499bff6b71aa7d62664996d22a5		https://www.encodeproject.org/files/ENCFF053AVA/@@download/ENCFF053AVA.bed.gz				released	s3://encode-public/2016/12/16/49aa4f9a-b4db-4912-a4f4-4cf0dd4cf034/ENCFF053AVA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/49aa4f9a-b4db-4912-a4f4-4cf0dd4cf034/ENCFF053AVA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read depth, missing biosample characterization, missing genetic modification characterization		
ENCFF667JVF	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR781DPA	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'dbxrefs': ['FactorBook:ZNF830'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/91603/'], '@type': ['Target', 'Item'], 'label': 'ZNF830', 'title': 'ZNF830 (Homo sapiens)', 'investigated_as': ['DNA repair'], 'uuid': '304c4ebe-b015-4459-aebe-dc7f9cfa3d33', 'schema_version': '14', 'name': 'ZNF830-human', '@id': '/targets/ZNF830-human/', 'status': 'released'}				ZNF830-human	DNA						2018-12-04	ENCODE			450-650	2, 3	2_1, 3_1							/files/ENCFF090GHY/, /files/ENCFF226MWG/, /files/ENCFF419RSJ/, /files/ENCFF614EAD/	9987	ENCODE Processing Pipeline	7c557db8fd033307d88b2e1d68e03929		https://www.encodeproject.org/files/ENCFF667JVF/@@download/ENCFF667JVF.bed.gz				released	s3://encode-public/2018/12/02/6878f0b7-e72a-42b5-82ff-5bdd5c3f8bcd/ENCFF667JVF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/02/6878f0b7-e72a-42b5-82ff-5bdd5c3f8bcd/ENCFF667JVF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, low read depth, missing genetic modification characterization, mild to moderate bottlenecking, moderate library complexity		
ENCFF738CQK	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR106EBH	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-753'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/167465/'], '@type': ['Target', 'Item'], 'name': 'ZNF366-human', 'label': 'ZNF366', '@id': '/targets/ZNF366-human/', 'title': 'ZNF366 (Homo sapiens)', 'investigated_as': ['cofactor'], 'uuid': 'caf85c4e-3223-4fb2-a4da-fd4a941be1c7', 'status': 'released'}				ZNF366-human	DNA				formaldehyde		2016-10-25	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF250FEN/, /files/ENCFF419RSJ/, /files/ENCFF729UHQ/, /files/ENCFF064AOB/	945279	ENCODE Processing Pipeline	fe9d18bbe8cf1ec701c756a27527a930		https://www.encodeproject.org/files/ENCFF738CQK/@@download/ENCFF738CQK.bed.gz				released	s3://encode-public/2016/10/28/b81e227e-b529-4efa-806f-02e8db878c41/ENCFF738CQK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/10/28/b81e227e-b529-4efa-806f-02e8db878c41/ENCFF738CQK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF312JKD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR705ASR	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-697'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/222696/'], '@type': ['Target', 'Item'], 'name': 'ZSCAN23-human', 'label': 'ZSCAN23', '@id': '/targets/ZSCAN23-human/', 'title': 'ZSCAN23 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '613df7f6-6786-4b90-86f6-3426216e0efc', 'status': 'released'}				ZSCAN23-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF335IAV/, /files/ENCFF247KYG/, /files/ENCFF419RSJ/, /files/ENCFF529CAD/	172647	ENCODE Processing Pipeline	55f889a5f3a0f63f269dedf6bbb58637		https://www.encodeproject.org/files/ENCFF312JKD/@@download/ENCFF312JKD.bed.gz				released	s3://encode-public/2016/11/01/64859cf5-0814-4d8f-b17d-161802e779ab/ENCFF312JKD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/01/64859cf5-0814-4d8f-b17d-161802e779ab/ENCFF312JKD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF530LIW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR768VNZ	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/100101467/'], '@type': ['Target', 'Item'], 'name': 'ZSCAN30-human', 'label': 'ZSCAN30', '@id': '/targets/ZSCAN30-human/', 'title': 'ZSCAN30 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'cf45bc99-730f-411f-8647-5ba9eec7f71e', 'status': 'released'}				ZSCAN30-human	DNA						2018-07-12	ENCODE			450-650	2, 3	2_1, 3_1							/files/ENCFF618BSV/, /files/ENCFF947HVP/, /files/ENCFF525JJQ/, /files/ENCFF419RSJ/	484351	ENCODE Processing Pipeline	5b80fb8da4bcbc77d1689adaf7897a54		https://www.encodeproject.org/files/ENCFF530LIW/@@download/ENCFF530LIW.bed.gz				released	s3://encode-public/2018/06/20/e574cba8-b682-449b-b6a4-072d0222e9e4/ENCFF530LIW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/20/e574cba8-b682-449b-b6a4-072d0222e9e4/ENCFF530LIW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, missing biosample characterization, moderate library complexity, missing genetic modification characterization		
ENCFF842RKM	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR338DGO	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-952'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/85508/'], '@type': ['Target', 'Item'], 'name': 'SCRT2-human', 'label': 'SCRT2', '@id': '/targets/SCRT2-human/', 'title': 'SCRT2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '9d321315-ab6f-41a0-8a63-0ca186ba4e07', 'status': 'released'}				SCRT2-human	DNA				formaldehyde		2016-10-25	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF315SXD/, /files/ENCFF419RSJ/, /files/ENCFF532MCH/, /files/ENCFF868BIG/	1185895	ENCODE Processing Pipeline	63b19c915ff7b7b7be0f7cc0ace4065b		https://www.encodeproject.org/files/ENCFF842RKM/@@download/ENCFF842RKM.bed.gz				released	s3://encode-public/2016/10/28/6e35ca14-4b7a-4561-b1ae-03563413eb12/ENCFF842RKM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/10/28/6e35ca14-4b7a-4561-b1ae-03563413eb12/ENCFF842RKM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF324ETS	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR827NWO	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-578'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/389549/'], '@type': ['Target', 'Item'], 'name': 'FEZF1-human', 'label': 'FEZF1', '@id': '/targets/FEZF1-human/', 'title': 'FEZF1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'ac3afd4d-eefe-4e03-8603-5c90558a8a27', 'status': 'released'}				FEZF1-human	DNA				formaldehyde		2016-10-14	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF871TVQ/, /files/ENCFF189LHV/, /files/ENCFF075JTN/	607330	ENCODE Processing Pipeline	14597525e3aeda5d090cf9d8bd77aa15		https://www.encodeproject.org/files/ENCFF324ETS/@@download/ENCFF324ETS.bed.gz				released	s3://encode-public/2016/11/01/08b70387-6d76-4e2a-b51f-582d72471b93/ENCFF324ETS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/01/08b70387-6d76-4e2a-b51f-582d72471b93/ENCFF324ETS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	missing biosample characterization, missing genetic modification characterization		
ENCFF407RMG	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR365DQH	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1432'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10520/'], '@type': ['Target', 'Item'], 'name': 'ZNF211-human', 'label': 'ZNF211', '@id': '/targets/ZNF211-human/', 'title': 'ZNF211 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '1ba4bc5a-25ed-4562-add7-10c9002e0413', 'status': 'released'}				ZNF211-human	DNA				formaldehyde		2016-12-19	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF630AYE/, /files/ENCFF191OSS/, /files/ENCFF633EGC/, /files/ENCFF419RSJ/	39241	ENCODE Processing Pipeline	7fc6b7858feabf054ad3a42663b5033c		https://www.encodeproject.org/files/ENCFF407RMG/@@download/ENCFF407RMG.bed.gz				released	s3://encode-public/2016/12/16/4a7b6a0b-34f2-49cd-a3b4-c35c27a04466/ENCFF407RMG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/4a7b6a0b-34f2-49cd-a3b4-c35c27a04466/ENCFF407RMG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read depth, missing biosample characterization, missing genetic modification characterization		
ENCFF193LIK	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR595FAO	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1381'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/22869/'], '@type': ['Target', 'Item'], 'name': 'ZNF510-human', 'label': 'ZNF510', '@id': '/targets/ZNF510-human/', 'title': 'ZNF510 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'f2587139-ed54-43c9-8f7b-031898b3292e', 'status': 'released'}				ZNF510-human	DNA				formaldehyde		2018-01-30	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF148UBC/, /files/ENCFF405XFK/, /files/ENCFF419RSJ/, /files/ENCFF418BPX/	104971	ENCODE Processing Pipeline	1978e31fb986b00857404430b94e98d6		https://www.encodeproject.org/files/ENCFF193LIK/@@download/ENCFF193LIK.bed.gz				released	s3://encode-public/2017/12/08/b88f24f4-eca6-44ce-a606-22a739b31d4a/ENCFF193LIK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/b88f24f4-eca6-44ce-a606-22a739b31d4a/ENCFF193LIK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, missing biosample characterization, missing genetic modification characterization	insufficient replicate concordance	
ENCFF886WTI	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR738SLS	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-716'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/203523/'], '@type': ['Target', 'Item'], 'name': 'ZNF449-human', 'label': 'ZNF449', '@id': '/targets/ZNF449-human/', 'title': 'ZNF449 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e4c80a76-4f8f-41af-9dd3-0d0219176681', 'status': 'released'}				ZNF449-human	DNA				formaldehyde		2017-11-28	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF766SQF/, /files/ENCFF628RDJ/, /files/ENCFF419RSJ/, /files/ENCFF962NIV/	371452	ENCODE Processing Pipeline	c57b037abf9ec4e51c6d768d1e42ed93		https://www.encodeproject.org/files/ENCFF886WTI/@@download/ENCFF886WTI.bed.gz				released	s3://encode-public/2017/11/27/2d009324-93b1-4c77-9a9a-6d5a0f972d0d/ENCFF886WTI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/27/2d009324-93b1-4c77-9a9a-6d5a0f972d0d/ENCFF886WTI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, missing biosample characterization, moderate library complexity, missing genetic modification characterization		
